current density A/m^2,Current / A,Voltage / V,Power W/m^2
-4.343570993,-0.603756368,6.55753e-6,-0.000028483
-4.338226727,-0.603013515,0.050004788,-0.216932108
-4.335021799,-0.60256803,0.099999122,-0.433498374
-4.332940353,-0.602278709,0.149997249,-0.649929133
-4.326542079,-0.601389349,0.199999452,-0.865306045
-4.327054504,-0.601460576,0.250002891,-1.081776135
-4.317008763,-0.600064218,0.299999058,-1.295098562
-4.320812741,-0.600592971,0.350004703,-1.51230478
-4.311270424,-0.599266589,0.399995983,-1.724490851
-4.309812468,-0.599063933,0.449993253,-1.939386532
-4.303674906,-0.598210812,0.499994099,-2.151812057
-4.300835748,-0.597816169,0.550023854,-2.365562254
-4.295268079,-0.597042263,0.600024402,-2.577265661
-4.293916892,-0.596854448,0.650022745,-2.791143645
-4.286960302,-0.595887482,0.70001024,-3.00091611
-4.285646432,-0.595704854,0.750010371,-3.21427927
-4.283659748,-0.595428705,0.800002456,-3.426938319
-4.274275662,-0.594124317,0.849998236,-3.633126773
-4.274967331,-0.594220459,0.899998128,-3.847462595
-4.268196849,-0.593279362,0.949994862,-4.054765076
-4.267597367,-0.593196034,0.999997497,-4.267586685
-4.261914345,-0.592406094,1.050019979,-4.475095211
-4.256108252,-0.591599047,1.100011468,-4.681767886
-4.25346464,-0.591231585,1.150011659,-4.891533927
-4.248402101,-0.590527892,1.200006247,-5.098109061
-4.246881108,-0.590316474,1.250002384,-5.308611509
-4.24405654,-0.589923859,1.300002337,-5.51728342
-4.238718705,-0.5891819,1.349989414,-5.722225381
-4.235143712,-0.588684976,1.39998281,-5.929128395
-4.233407885,-0.588443696,1.449987173,-6.138387131
-4.227302489,-0.587595046,1.499974132,-6.340844382
-4.225650281,-0.587365389,1.549973249,-6.549644895
-4.22073654,-0.586682379,1.600004196,-6.753196174
-4.213873863,-0.585728467,1.650001287,-6.952897298
-4.21493259,-0.58587563,1.700003147,-7.165398667
-4.206340094,-0.584681273,1.749994397,-7.361071596
-4.208186122,-0.584937871,1.799988508,-7.57468666
-4.202495374,-0.584146857,1.849990487,-7.774576464
-4.196841079,-0.58336091,1.899987698,-7.973946421
-4.195870683,-0.583226025,1.949990153,-8.181906516
-4.189517432,-0.582342923,1.999981165,-8.378955954
-4.186806921,-0.581966162,2.049976826,-8.582857163
-4.182848144,-0.581415892,2.100013256,-8.78403655
-4.178807029,-0.580854177,2.150054693,-8.984663663
-4.172184482,-0.579933643,2.200059414,-9.179053747
-4.169399791,-0.579546571,2.25007844,-9.381476578
-4.164503633,-0.578866005,2.300122976,-9.57887049
-4.163114712,-0.578672945,2.349983454,-9.783250691
-4.156252036,-0.577719033,2.399994612,-9.974982492
-4.15144636,-0.577051044,2.450003624,-10.17105863
-4.146022763,-0.576297164,2.50000596,-10.36508162
-4.138522014,-0.57525456,2.550030231,-10.55335625
-4.13622659,-0.574935496,2.600078583,-10.75451417
-4.123368281,-0.573148191,2.650092125,-10.92730581
-4.123479345,-0.573163629,2.700110197,-11.13384863
-4.112430187,-0.571627796,2.75009799,-11.30958599
-4.104918288,-0.570583642,2.799977779,-11.49367999
-4.099436799,-0.569821715,2.850031376,-11.6835235
-4.082633439,-0.567486048,2.900022268,-11.83972788
-4.069778986,-0.565699279,2.950080395,-12.0061752
-4.044852669,-0.562234521,3.000069857,-12.13484057
-4.016698691,-0.558321118,3.050104856,-12.25135218
-3.982736906,-0.55360043,3.100118876,-12.34695786
-3.944913691,-0.548343003,3.150112629,-12.42692244
-3.901594835,-0.542321682,3.200160742,-12.48573062
-3.855839482,-0.535961688,3.250015736,-12.53153899
-3.797923489,-0.527911365,3.299972773,-12.53304411
-3.742968007,-0.520272553,3.350002766,-12.53895318
-3.677505813,-0.511173308,3.400026321,-12.50361656
-3.604043302,-0.500962019,3.450060606,-12.43416782
-3.527624784,-0.490339845,3.500053167,-12.3468743
-3.436442547,-0.477665514,3.550058842,-12.19957325
-3.343918554,-0.464804679,3.600062609,-12.03831615
-3.241712453,-0.450598031,3.650139332,-11.83270213
-3.132477727,-0.435414404,3.699985504,-11.59012218
-3.015456014,-0.419148386,3.750001907,-11.3079658
-2.891352705,-0.401898026,3.799988031,-10.98710567
-2.759804827,-0.383612871,3.85002327,-10.62531281
-2.624209835,-0.364765167,3.900035858,-10.23451245
-2.475493245,-0.344093561,3.950080395,-9.778397333
-2.319052065,-0.322348237,4.00003767,-9.276295618
-2.147617525,-0.298518836,4.050134659,-8.698140173
-1.95433746,-0.271652907,4.099978447,-8.012741466
-1.740680964,-0.241954654,4.149980545,-7.223792136
-1.482018676,-0.206000596,4.199987888,-6.22446049
-1.181205187,-0.164187521,4.250038624,-5.020167668
-0.821306928,-0.114161663,4.300041199,-3.531653628
-0.394817791,-0.054879673,4.350045204,-1.71747524
0.0958805683,0.013327399,4.400027275,0.4218771159
0.6433717338,0.089428671,4.450122833,2.8630832427
1.2409653813,0.172494188,4.500048161,5.584403982
1.898330964,0.263868004,4.549928188,8.6372695634
2.6054363022,0.362155646,4.599919319,11.984796781
3.3271126187,0.462468654,4.646875381,15.460677718
4.0198264388,0.558755875,4.688269615,18.846030151
4.6991551511,0.653182566,4.72681284,22.212026905
5.8943166115,0.819310009,4.800014019,28.292802368
6.8206208201,0.948066294,4.850039959,33.080283523
7.776589705,1.080945969,4.900016308,38.105416375
8.7566358561,1.217172384,4.950044632,43.345738314
9.7660992662,1.357487798,4.999910355,48.829620849
